fp_number,baseline_taxonomy_code,fidelity_taxonomy_code,status_changed,change_driver,notes
3,ENVELOPE_COLLAPSE_ROAD_SETBACK,ENVELOPE_COLLAPSE_ROAD_SETBACK,N,OTHER,
17,ENVELOPE_COLLAPSE_ROAD_SETBACK,ENVELOPE_COLLAPSE_SIDE_REAR_SETBACK,Y,ROAD_WIDTH_SOURCE,
18,ENVELOPE_COLLAPSE_SIDE_REAR_SETBACK,ENVELOPE_COLLAPSE_ROAD_SETBACK,Y,ROAD_WIDTH_SOURCE,
21,PLACEMENT_NO_FIT_ON_VALID_ENVELOPE,ENVELOPE_TOO_SMALL_AFTER_SETBACKS,Y,ROAD_WIDTH_SOURCE,
23,PIPELINE_PASS,PIPELINE_PASS,N,OTHER,
29,ENVELOPE_TOO_SMALL_AFTER_SETBACKS,ENVELOPE_TOO_SMALL_AFTER_SETBACKS,N,OTHER,
31,ENVELOPE_TOO_SMALL_AFTER_SETBACKS,ENVELOPE_COLLAPSE_ROAD_SETBACK,Y,ROAD_WIDTH_SOURCE,
34,ENVELOPE_TOO_SMALL_AFTER_SETBACKS,PIPELINE_PASS,Y,ROAD_WIDTH_SOURCE,
48,ENVELOPE_TOO_SMALL_AFTER_SETBACKS,ENVELOPE_TOO_SMALL_AFTER_SETBACKS,N,OTHER,
54,ENVELOPE_TOO_SMALL_AFTER_SETBACKS,ENVELOPE_COLLAPSE_ROAD_SETBACK,Y,ROAD_WIDTH_SOURCE,
55,ENVELOPE_TOO_SMALL_AFTER_SETBACKS,ENVELOPE_TOO_SMALL_AFTER_SETBACKS,N,OTHER,
84,PLACEMENT_NO_FIT_ON_VALID_ENVELOPE,PIPELINE_PASS,Y,ROAD_WIDTH_SOURCE,
90,ENVELOPE_COLLAPSE_ROAD_SETBACK,ENVELOPE_COLLAPSE_ROAD_SETBACK,N,OTHER,
107,PIPELINE_PASS,PIPELINE_PASS,N,OTHER,
127,PIPELINE_PASS,PIPELINE_PASS,N,OTHER,
132,PIPELINE_PASS,PIPELINE_PASS,N,OTHER,
133,PIPELINE_PASS,PIPELINE_PASS,N,OTHER,
152,PIPELINE_PASS,PIPELINE_PASS,N,OTHER,
169,ENVELOPE_TOO_SMALL_AFTER_SETBACKS,ENVELOPE_COLLAPSE_SIDE_REAR_SETBACK,Y,ROAD_WIDTH_SOURCE,
171,ENVELOPE_COLLAPSE_ROAD_SETBACK,ENVELOPE_COLLAPSE_ROAD_SETBACK,N,OTHER,
173,ENVELOPE_COLLAPSE_SIDE_REAR_SETBACK,PIPELINE_PASS,Y,ROAD_WIDTH_SOURCE,
176,ENVELOPE_COLLAPSE_ROAD_SETBACK,ENVELOPE_COLLAPSE_SIDE_REAR_SETBACK,Y,ROAD_WIDTH_SOURCE,
178,ENVELOPE_COLLAPSE_ROAD_SETBACK,ENVELOPE_COLLAPSE_ROAD_SETBACK,N,OTHER,
181,ENVELOPE_COLLAPSE_ROAD_SETBACK,ENVELOPE_COLLAPSE_SIDE_REAR_SETBACK,Y,ROAD_WIDTH_SOURCE,
